State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Public Sponsor,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles , Service Area Pop ,Primary UZA UACE Code,UZA Name,Tribal Area Name, Population , Density , Sq Miles , VOMS DO , VOMS PT , Total VOMS ,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
,00012,0012,Municipality of Anchorage,Public Transportation,,,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,,12/31/24,4/30/25,632 W 6Th Ave,STE 810,196650,Anchorage,AK,99501,6312,10,https://www.muni.org/Departments/transit,1707,G6XSV1B8MVB9, 77 ," 291,247 ",02305,"Anchorage, AK",," 249,252 "," 2,718.4 ", 91.7 , 40 , 146 , 186 ,,,Tier I (Non-Fixed Route VOMS),,,
,00014,0T14,Sitka Tribe of Alaska,Transportation,STA,,Reduced Reporter,Tribe,Tribe,,,,,12/31/24,4/30/25,204 SIGINAKA Wy,,,Sitka,AK,99835,7364,10,https://sitkatribe.org/our-services/transportation/,6669,RSHJU9JW4G59,,,00002,Alaska Non-UZA,"Sitka ANVSA, AK"," 359,299 ", -   , -   , 3 ,, 3 ,,,Tier II,,,
,00015,0T15,Snoqualmie Indian Tribe,,SVT,Snoqualmie Valley Transportation,Reduced Reporter,Tribe,Tribe,,,,,9/30/24,1/31/25,9571 Ethan Wade Way Se,,969,Snoqualmie,WA,98065,9577,10,http://www.svtbus.org/,6685,LD6KX4L8KLW9,,,00053,Washington Non-UZA,"Snoqualmie Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 2 ,, 2 ,,,Tier II,,,
,00016,0016,City of Longview,Transit Division,RCT,RiverCities Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,,12/31/24,4/30/25,1525 Broadway St,,128,Longview,WA,98632,3715,10,http://www.rctransit.org/,1747,HUPTBCSMTSB1, 31 ," 61,598 ",51283,"Longview, WA--OR",," 69,841 "," 1,984.6 ", 35.2 , 12 , 10 , 22 ,,,Tier II,,,
,00017,0T17,Stillaguamish Tribe of Indians,Transportation Department,STTS,Stillaguamish Tribal Transportation Services,Reduced Reporter,Tribe,Tribe,,,,,9/30/24,1/31/25,3322 236Th St Ne,,277,Arlington,WA,98223,7233,10,http://www.stillaguamish.com/,6801,SCBFR3JUM1W3,,,00053,Washington Non-UZA,"Stillaguamish Reservation and Off-Reservation Trust Land, WA"," 1,895,776 ", -   , -   , 5 ,, 5 ,,,Tier II,,,
,00018,0018,Ben Franklin Transit,,BFT,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,,12/31/24,4/30/25,1000 Columbia Park Trl,,,Richland,WA,99352,4851,10,http://www.bft.org/,1742,QVNLRS9RPUV4, 624 ," 287,689 ",44479,"Kennewick--Richland--Pasco, WA",," 255,401 "," 2,276.0 ", 112.2 , 255 , 39 , 294 ,,,Tier I (Non-Fixed Route VOMS),,,
,00019,0019,Intercity Transit,,I.T.,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,,12/31/24,4/30/25,526 Pattison St Se,,659,Olympia,WA,98501,2076,10,http://www.intercitytransit.com/,1745,CMC8NKZ8XW63, 101 ," 206,183 ",65242,"Olympia--Lacey, WA",," 208,157 "," 1,960.0 ", 106.2 , 243 ,, 243 ,,,Tier I (Non-Fixed Route VOMS),,,
,00020,0020,Kitsap County Public Transportation Benefit Area Authority,,KT,Kitsap Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,,12/31/24,4/30/25,60 Washington Ave,,,Bremerton,WA,98337,1888,10,http://www.kitsaptransit.com/,1746,XF87DZ25NQT4, 396 ," 254,183 ",09946,"Bremerton, WA",," 224,449 "," 1,527.8 ", 146.9 , 211 , 2 , 213 ,,,Tier I (Fixed Route VOMS),,,
,00021,0021,Whatcom Transportation Authority,,WTA,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,,12/31/24,4/30/25,4011 Bakerview Spur,,,Bellingham,WA,98226,8066,10,http://www.ridewta.com/,5092,FFA5NLAKYDU1, 776 ," 237,806 ",06652,"Bellingham, WA",," 128,979 "," 2,572.8 ", 50.1 , 103 ,, 103 ,,,Tier II,,,
,00022,0022,City of Pocatello,Public Transit,PRT,Pocatello Regional Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,,9/30/24,1/31/25,911 N 7Th Ave,,4169,Pocatello,ID,83201,7700,10,http://www.pocatellotransit.com/,1737,C1H5KKGYA7F8," 5,460 "," 175,045 ",70426,"Pocatello, ID",," 72,211 "," 2,629.3 ", 27.5 , 24 ,, 24 ,,,Tier II,,,
