Agency,UZA_Name,UACE_Code,Report_Year,Mode_Name,UZA_Area(Sq Miles),UZA_Pop,Service_Area(Sq Miles),Service_Area_Pop,Time_Period,VRM,VRH,UPT
Municipality of Anchorage,"Anchorage, AK",2305.0,2024,Demand Response,91.69,249252.0,77.0,291247.0,Annual Total,957477.0,83172.0,168815.0
Municipality of Anchorage,"Anchorage, AK",2305.0,2024,Bus,91.69,249252.0,77.0,291247.0,Annual Total,2387861.0,184100.0,3044346.0
Municipality of Anchorage,"Anchorage, AK",2305.0,2024,Vanpool,91.69,249252.0,77.0,291247.0,Annual Total,2001592.0,41984.0,227371.0
Sitka Tribe of Alaska,Alaska Non-UZA,2.0,2024,Bus,0.0,359299.0,,,Annual Total,139825.0,9867.0,61391.0
"Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation",Washington Non-UZA,53.0,2024,Demand Response,0.0,1895776.0,,,Annual Total,19162.0,1487.0,904.0
"City of Longview, dba: RiverCities Transit","Longview, WA--OR",51283.0,2024,Demand Response,35.19,69841.0,31.0,61598.0,Annual Total,133148.0,15762.0,36301.0
"City of Longview, dba: RiverCities Transit","Longview, WA--OR",51283.0,2024,Bus,35.19,69841.0,31.0,61598.0,Annual Total,364453.0,28670.0,271500.0
"Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services",Washington Non-UZA,53.0,2024,Demand Response,0.0,1895776.0,,,Annual Total,30337.0,989.0,4020.0
Ben Franklin Transit,"Kennewick--Richland--Pasco, WA",44479.0,2024,Demand Response,112.21,255401.0,624.0,287689.0,Annual Total,1749832.0,104327.0,240946.0
Ben Franklin Transit,"Kennewick--Richland--Pasco, WA",44479.0,2024,Demand Response,112.21,255401.0,624.0,287689.0,Annual Total,1006778.0,59921.0,170506.0
Ben Franklin Transit,"Kennewick--Richland--Pasco, WA",44479.0,2024,Bus,112.21,255401.0,624.0,287689.0,Annual Total,3569623.0,223592.0,2786983.0
Ben Franklin Transit,"Kennewick--Richland--Pasco, WA",44479.0,2024,Vanpool,112.21,255401.0,624.0,287689.0,Annual Total,2066327.0,46663.0,328141.0
Intercity Transit,"Olympia--Lacey, WA",65242.0,2024,Commuter Bus,106.21,208157.0,101.0,206183.0,Annual Total,372133.0,15752.0,155507.0
