"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Number!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent Distribution!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Median income (dollars)!!Estimate","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Number!!Estimate","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent Distribution!!Estimate","Marietta, GA Metro Division; Atlanta-Sandy Springs-Roswell, GA Metro Area!!Median income (dollars)!!Estimate","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Number!!Estimate","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Distribution!!Estimate","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Median income (dollars)!!Estimate","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Number!!Estimate","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Distribution!!Estimate","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Median income (dollars)!!Estimate","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Number!!Estimate","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Percent Distribution!!Estimate","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area!!Median income (dollars)!!Estimate","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Chicago-Naperville-Schaumburg, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Lake County, IL Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Number!!Estimate","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Percent Distribution!!Estimate","Lake County-Porter County-Jasper County, IN Metro Division; Chicago-Naperville-Elgin, IL-IN Metro Area!!Median income (dollars)!!Estimate","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Number!!Estimate","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Percent Distribution!!Estimate","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Median income (dollars)!!Estimate","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Number!!Estimate","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Percent Distribution!!Estimate","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area!!Median income (dollars)!!Estimate","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Number!!Estimate","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Percent Distribution!!Estimate","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Median income (dollars)!!Estimate","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Number!!Estimate","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Percent Distribution!!Estimate","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area!!Median income (dollars)!!Estimate","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Number!!Estimate","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent Distribution!!Estimate","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Median income (dollars)!!Estimate","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Number!!Estimate","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent Distribution!!Estimate","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area!!Median income (dollars)!!Estimate","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Number!!Estimate","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent Distribution!!Estimate","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Median income (dollars)!!Estimate","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Number!!Estimate","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent Distribution!!Estimate","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Median income (dollars)!!Estimate","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Number!!Estimate","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent Distribution!!Estimate","West Palm Beach-Boca Raton-Delray Beach, FL Metro Division; Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Median income (dollars)!!Estimate","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","Lakewood-New Brunswick, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","Newark, NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Number!!Estimate","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Percent Distribution!!Estimate","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ Metro Area!!Median income (dollars)!!Estimate","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Number!!Estimate","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent Distribution!!Estimate","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Median income (dollars)!!Estimate","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Number!!Estimate","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Percent Distribution!!Estimate","Oakland-Fremont-Berkeley, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Median income (dollars)!!Estimate","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Number!!Estimate","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Percent Distribution!!Estimate","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Median income (dollars)!!Estimate","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Number!!Estimate","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Percent Distribution!!Estimate","San Rafael, CA Metro Division; San Francisco-Oakland-Fremont, CA Metro Area!!Median income (dollars)!!Estimate","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Number!!Estimate","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Percent Distribution!!Estimate","Everett, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Median income (dollars)!!Estimate","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Number!!Estimate","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Percent Distribution!!Estimate","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Median income (dollars)!!Estimate","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Number!!Estimate","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Percent Distribution!!Estimate","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area!!Median income (dollars)!!Estimate","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Number!!Estimate","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent Distribution!!Estimate","St. Petersburg-Clearwater-Largo, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Median income (dollars)!!Estimate","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Number!!Estimate","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Percent Distribution!!Estimate","Tampa, FL Metro Division; Tampa-St. Petersburg-Clearwater, FL Metro Area!!Median income (dollars)!!Estimate","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Number!!Estimate","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Distribution!!Estimate","Arlington-Alexandria-Reston, VA-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Median income (dollars)!!Estimate","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Number!!Estimate","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Distribution!!Estimate","Frederick-Gaithersburg-Bethesda, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Median income (dollars)!!Estimate","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Number!!Estimate","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Distribution!!Estimate","Washington, DC-MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Median income (dollars)!!Estimate"
"    65 years and over","416,631","22.4%","61,530","122,328","23.1%","69,283","221,721","26.7%","70,261","266,141","27.8%","80,531","58,661","32.1%","70,015","759,212","26.5%","62,692","73,702","26.7%","70,623","72,672","27.8%","87,260","89,444","31.2%","54,190","408,317","19.9%","68,966","207,927","21.6%","65,429","206,809","29.2%","50,111","327,951","30.6%","60,199","301,697","27.5%","85,204","879,360","25.2%","66,563","217,192","28.7%","57,639","256,621","25.6%","44,739","237,644","38.1%","66,573","304,068","32.2%","75,534","324,683","33.5%","96,388","223,641","26.9%","76,955","1,290,492","27.2%","55,803","146,625","29.6%","72,173","247,938","31.0%","80,893","238,085","25.9%","48,279","85,408","29.4%","68,824","269,919","26.2%","84,808","167,374","26.2%","86,453","41,435","40.6%","105,157","79,222","24.3%","71,462","201,609","20.8%","78,708","89,464","24.7%","68,160","169,244","38.9%","55,378","263,549","28.0%","55,177","260,315","22.2%","100,737","137,426","27.6%","105,653","171,938","23.1%","77,163"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","1,212,532","1,212,532","107,637","372,088","372,088","122,399","492,252","492,252","138,913","617,347","617,347","155,353","118,040","118,040","137,525","1,734,800","1,734,800","112,788","191,800","191,800","120,866","183,747","183,747","134,754","191,523","191,523","95,092","1,378,090","1,378,090","114,790","653,222","653,222","104,760","421,034","421,034","78,587","678,095","678,095","114,993","775,345","775,345","131,404","2,244,445","2,244,445","102,498","484,795","484,795","97,199","690,835","690,835","85,113","389,238","389,238","102,057","663,712","663,712","137,502","715,531","715,531","155,808","571,320","571,320","133,749","2,840,589","2,840,589","102,699","334,843","334,843","120,415","549,809","549,809","146,315","493,981","493,981","87,160","188,655","188,655","109,370","694,222","694,222","154,373","344,273","344,273","187,137","62,466","62,466","210,424","214,796","214,796","132,913","539,086","539,086","166,582","240,305","240,305","120,677","233,618","233,618","101,662","602,847","602,847","98,155","800,206","800,206","164,149","340,233","340,233","168,176","402,005","402,005","129,106"
"        With own children of householder under 18 years","508,061","41.9%","106,647","153,259","41.2%","130,967","189,937","38.6%","152,838","251,070","40.7%","168,528","42,095","35.7%","145,346","687,885","39.7%","113,855","82,490","43.0%","120,865","74,492","40.5%","148,432","75,202","39.3%","89,396","615,278","44.6%","116,345","288,651","44.2%","101,509","172,165","40.9%","66,250","252,045","37.2%","120,317","303,362","39.1%","136,936","842,756","37.5%","96,554","175,706","36.2%","95,560","251,158","36.4%","83,325","130,552","33.5%","97,905","260,545","39.3%","151,321","271,095","37.9%","167,817","241,689","42.3%","136,734","1,078,035","38.0%","100,214","135,670","40.5%","121,648","215,804","39.3%","164,718","202,636","41.0%","74,577","72,699","38.5%","106,197","285,159","41.1%","173,169","125,905","36.6%","225,026","N","N","215,625","92,732","43.2%","146,330","228,341","42.4%","193,496","102,500","42.7%","120,386","63,523","27.2%","105,005","236,719","39.3%","100,510","365,354","45.7%","165,981","149,797","44.0%","172,442","157,275","39.1%","115,738"
"        With no own children of householder under 18 years","704,471","58.1%","108,307","218,829","58.8%","117,931","302,315","61.4%","133,499","366,277","59.3%","147,953","75,945","64.3%","133,114","1,046,915","60.3%","112,284","109,310","57.0%","120,867","109,255","59.5%","126,245","116,321","60.7%","97,256","762,812","55.4%","113,785","364,571","55.8%","106,374","248,869","59.1%","84,823","426,050","62.8%","112,243","471,983","60.9%","128,807","1,401,689","62.5%","105,996","309,089","63.8%","97,706","439,677","63.6%","85,643","258,686","66.5%","104,903","403,167","60.7%","131,675","444,436","62.1%","150,167","329,631","57.7%","131,777","1,762,554","62.0%","104,813","199,173","59.5%","119,663","334,005","60.7%","135,297","291,345","59.0%","93,049","115,956","61.5%","111,129","409,063","58.9%","142,807","218,368","63.4%","170,263","N","N","200,194","122,064","56.8%","125,579","310,745","57.6%","153,132","137,805","57.3%","121,001","170,095","72.8%","100,354","366,128","60.7%","97,172","434,852","54.3%","163,065","190,436","56.0%","162,955","244,730","60.9%","137,497"
"        Married-couple families","849,066","70.0%","130,952","286,830","77.1%","140,052","350,989","71.3%","173,121","473,484","76.7%","182,883","95,937","81.3%","152,124","1,236,172","71.3%","138,284","147,560","76.9%","138,309","143,600","78.2%","155,937","134,548","70.3%","111,279","1,036,120","75.2%","136,252","482,021","73.8%","123,788","256,825","61.0%","104,543","528,411","77.9%","129,896","577,537","74.5%","154,054","1,486,121","66.2%","127,806","330,393","68.2%","116,127","432,757","62.6%","106,185","279,524","71.8%","122,785","526,803","79.4%","155,332","561,765","78.5%","176,313","407,086","71.3%","165,578","1,832,707","64.5%","135,774","239,859","71.6%","144,869","445,417","81.0%","163,292","293,053","59.3%","120,854","133,500","70.8%","130,603","525,540","75.7%","182,841","262,854","76.4%","220,008","N","N","246,957","169,486","78.9%","155,972","441,472","81.9%","192,165","179,383","74.6%","133,988","176,430","75.5%","116,411","439,771","72.9%","116,098","637,383","79.7%","186,950","264,565","77.8%","191,799","241,441","60.1%","172,964"
"            With own children under 18 years","341,150","28.1%","144,686","115,642","31.1%","151,064","133,251","27.1%","203,931","190,109","30.8%","210,711","31,055","26.3%","174,844","476,728","27.5%","154,251","61,308","32.0%","146,898","56,155","30.6%","182,296","48,300","25.2%","122,932","457,147","33.2%","144,149","206,876","31.7%","129,791","96,182","22.8%","110,581","188,910","27.9%","144,801","228,587","29.5%","170,832","553,905","24.7%","135,175","114,280","23.6%","127,943","155,771","22.5%","117,145","84,837","21.8%","130,015","207,489","31.3%","179,217","216,484","30.3%","192,537","168,950","29.6%","190,983","709,536","25.0%","148,407","90,595","27.1%","161,805","172,688","31.4%","186,214","111,759","22.6%","130,393","46,192","24.5%","135,987","218,123","31.4%","212,318","99,136","28.8%","250,000+","N","N","250,000+","71,867","33.5%","175,278","185,092","34.3%","223,456","71,296","29.7%","143,023","43,240","18.5%","137,280","161,317","26.8%","131,057","290,770","36.3%","196,157","114,036","33.5%","207,596","92,191","22.9%","171,209"
"        Female householder, no spouse present","272,039","22.4%","63,246","56,441","15.2%","65,953","101,614","20.6%","73,913","98,981","16.0%","70,882","15,325","13.0%","70,442","357,627","20.6%","61,758","29,227","15.2%","66,333","27,395","14.9%","76,850","39,390","20.6%","51,748","246,292","17.9%","57,952","120,584","18.5%","55,654","120,144","28.5%","42,494","101,987","15.0%","61,903","126,587","16.3%","78,686","510,788","22.8%","64,716","107,838","22.2%","62,044","179,591","26.0%","51,672","76,087","19.5%","62,720","92,182","13.9%","75,900","106,666","14.9%","96,380","115,842","20.3%","70,401","730,017","25.7%","60,049","68,082","20.3%","68,881","69,170","12.6%","80,362","155,537","31.5%","49,849","43,403","23.0%","59,716","117,642","16.9%","79,995","54,445","15.8%","90,138","N","N","66,665","29,906","13.9%","65,169","63,430","11.8%","73,092","40,757","17.0%","66,619","41,277","17.7%","55,810","115,951","19.2%","59,590","110,584","13.8%","90,574","53,550","15.7%","87,352","119,241","29.7%","77,826"
"            With own children under 18 years","132,391","10.9%","51,559","25,780","6.9%","55,970","43,797","8.9%","60,220","42,787","6.9%","47,960","7,280","6.2%","57,309","154,672","8.9%","44,187","14,074","7.3%","48,979","13,227","7.2%","44,800","18,631","9.7%","44,554","125,270","9.1%","49,071","58,852","9.0%","44,176","58,132","13.8%","31,084","44,596","6.6%","47,774","51,719","6.7%","57,689","200,965","9.0%","46,072","44,408","9.2%","48,759","69,847","10.1%","40,622","31,363","8.1%","48,022","37,022","5.6%","52,343","39,035","5.5%","75,077","52,115","9.1%","50,549","289,140","10.2%","42,303","34,138","10.2%","60,846","27,128","4.9%","55,323","71,957","14.6%","36,901","20,808","11.0%","45,058","47,712","6.9%","61,269","18,597","5.4%","62,366","N","N","60,446","15,138","7.0%","46,396","29,395","5.5%","50,628","20,881","8.7%","51,609","14,680","6.3%","39,626","55,399","9.2%","46,828","51,727","6.5%","70,635","25,274","7.4%","58,307","50,312","12.5%","58,593"
"        Male householder, no spouse present","91,427","7.5%","77,445","28,817","7.7%","82,750","39,649","8.1%","100,291","44,882","7.3%","108,050","6,778","5.7%","90,005","141,001","8.1%","81,349","15,013","7.8%","75,591","12,752","6.9%","85,168","17,585","9.2%","78,588","95,678","6.9%","80,419","50,617","7.7%","76,374","44,065","10.5%","61,150","47,697","7.0%","76,423","71,221","9.2%","92,703","247,536","11.0%","76,157","46,564","9.6%","76,347","78,487","11.4%","69,464","33,627","8.6%","71,842","44,727","6.7%","90,282","47,100","6.6%","115,837","48,392","8.5%","77,950","277,865","9.8%","81,361","26,902","8.0%","75,409","35,222","6.4%","99,896","45,391","9.2%","66,615","11,752","6.2%","80,179","51,040","7.4%","97,646","26,974","7.8%","109,211","N","N","121,359","15,404","7.2%","94,928","34,184","6.3%","90,345","20,165","8.4%","86,711","15,911","6.8%","70,453","47,125","7.8%","69,869","52,239","6.5%","104,392","22,118","6.5%","105,366","41,323","10.3%","87,168"
"            With own children under 18 years","34,520","2.8%","67,186","11,837","3.2%","72,307","12,889","2.6%","90,888","18,174","2.9%","103,548","3,760","3.2%","77,639","56,485","3.3%","71,834","7,108","3.7%","61,523","5,110","2.8%","68,148","8,271","4.3%","66,144","32,861","2.4%","62,388","22,923","3.5%","66,041","17,851","4.2%","54,393","18,539","2.7%","61,321","23,056","3.0%","72,977","87,886","3.9%","61,414","17,018","3.5%","60,365","25,540","3.7%","60,775","14,352","3.7%","70,381","16,034","2.4%","76,644","15,576","2.2%","103,631","20,624","3.6%","68,588","79,359","2.8%","55,424","10,937","3.3%","63,403","15,988","2.9%","97,852","18,920","3.8%","61,168","5,699","3.0%","80,027","19,324","2.8%","86,272","8,172","2.4%","96,416","N","N","120,493","5,727","2.7%","93,316","13,854","2.6%","72,293","10,323","4.3%","75,024","5,603","2.4%","54,657","20,003","3.3%","66,359","22,857","2.9%","90,913","10,487","3.1%","92,838","14,772","3.7%","85,145"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","535,593","44.2%","93,178","165,221","44.4%","101,842","219,695","44.6%","115,613","266,870","43.2%","126,818","61,855","52.4%","116,269","766,481","44.2%","96,914","77,944","40.6%","105,157","78,651","42.8%","113,690","90,922","47.5%","80,499","557,807","40.5%","101,410","270,173","41.4%","90,910","193,760","46.0%","72,660","328,246","48.4%","97,749","307,304","39.6%","111,856","857,580","38.2%","88,391","229,950","47.4%","82,297","290,681","42.1%","65,197","203,765","52.3%","94,296","282,289","42.5%","112,217","277,124","38.7%","127,531","228,056","39.9%","108,960","1,231,619","43.4%","88,207","141,390","42.2%","100,830","251,654","45.8%","117,671","224,308","45.4%","77,575","86,142","45.7%","95,080","297,923","42.9%","128,351","157,833","45.8%","160,611","31,734","50.8%","184,568","93,967","43.7%","109,804","253,367","47.0%","141,204","110,136","45.8%","103,489","143,532","61.4%","90,071","282,972","46.9%","80,998","323,532","40.4%","147,389","140,203","41.2%","146,716","181,962","45.3%","124,423"
"    3-person families","286,787","23.7%","107,907","86,352","23.2%","131,587","119,934","24.4%","133,588","151,085","24.5%","158,315","27,376","23.2%","136,475","384,140","22.1%","117,143","45,419","23.7%","120,305","44,505","24.2%","125,531","40,711","21.3%","100,547","320,583","23.3%","115,211","150,297","23.0%","105,152","93,356","22.2%","83,620","153,262","22.6%","120,434","180,350","23.3%","133,770","546,678","24.4%","99,532","115,758","23.9%","97,556","176,645","25.6%","88,181","84,914","21.8%","108,077","157,461","23.7%","148,308","162,996","22.8%","160,480","138,394","24.2%","134,934","689,640","24.3%","109,453","83,063","24.8%","122,914","127,582","23.2%","159,935","125,916","25.5%","87,539","44,793","23.7%","113,780","161,664","23.3%","164,504","83,388","24.2%","192,118","14,556","23.3%","194,305","53,101","24.7%","150,395","125,722","23.3%","176,676","52,408","21.8%","128,151","47,125","20.2%","108,953","138,410","23.0%","102,287","186,998","23.4%","169,681","80,708","23.7%","165,638","94,961","23.6%","127,795"
"    4-person families","226,698","18.7%","138,344","73,577","19.8%","147,731","98,314","20.0%","189,714","128,061","20.7%","203,417","17,963","15.2%","177,427","338,962","19.5%","140,093","37,599","19.6%","140,952","39,001","21.2%","179,438","33,543","17.5%","118,764","287,855","20.9%","137,546","122,200","18.7%","123,785","74,398","17.7%","98,466","126,655","18.7%","140,231","166,577","21.5%","161,084","451,020","20.1%","122,064","83,643","17.3%","123,476","135,890","19.7%","104,220","61,981","15.9%","114,552","134,154","20.2%","184,211","152,665","21.3%","183,268","125,614","22.0%","169,860","526,467","18.5%","128,978","67,351","20.1%","157,217","111,416","20.3%","181,502","87,270","17.7%","110,894","33,474","17.7%","131,869","146,254","21.1%","192,432","68,181","19.8%","231,246","12,042","19.3%","250,000+","42,940","20.0%","166,631","103,525","19.2%","224,249","44,569","18.5%","140,911","27,980","12.0%","137,052","108,708","18.0%","126,571","170,911","21.4%","186,519","71,842","21.1%","203,032","67,669","16.8%","133,700"
